Supplier_ID;Product_Category;Month;Order Value USD;Performance_Quality_Score;Financial_Risk_Score_Quarterly;Nachhaltigkeitsscore;Standards Risks_Score;Risikoscore Political
S1;Electronics;2023-03; 38 901,02 ;0,56744868;0,590472015;0,2862;0;0,47604927
S1;Electronics;2023-08; 32 879,57 ;0,040175953;0,557594308;0,2862;0;0,35693505
S1;Electronics;2023-12; 48 527,73 ;0,732502444;0,565566274;0,2862;0;0,50061341
S1;Food;2023-03; 39 962,86 ;0,431312317;0,590472015;0,2915;0;0,47604927
S1;Food;2023-04; 35 502,87 ;0,421136364;0,622874304;0,2915;0;0,40007626
S1;Food;2023-05; 13 381,71 ;0,566251222;0,622874304;0,2915;0;0,42262169
S1;Food;2023-07; 38 494,60 ;0,086265885;0,557594308;0,2915;0;0,37775133
S1;Food;2023-08; 3 603,14 ;0,113929619;0,557594308;0,2915;0;0,35693505
S1;Food;2023-09; 28 065,48 ;0,034017595;0,557594308;0,2915;0;0,41456793
S1;Food;2023-11; 715,98 ;0,146358749;0,565566274;0,2915;0;0,45256451
S1;Food;2023-12; 34 037,81 ;0,109701857;0,565566274;0,2915;0;0,50061341
S1;Machinery;2023-09; 21 548,80 ;0,114565005;0,557594308;0,2968;0;0,41456793
S1;Machinery;2023-10; 46 749,41 ;0,248663245;0,565566274;0,2968;0;0,44253673
S1;Machinery;2023-11; 40 239,14 ;0,082160313;0,565566274;0,2968;0;0,45256451
S1;Machinery;2023-12; 77 487,77 ;0,204193548;0,565566274;0,2968;0;0,50061341
S1;Pharma;2023-04; 57 666,46 ;0,698585044;0,622874304;0,2565;0;0,40007626
S1;Pharma;2023-05; 35 478,18 ;0,215591398;0,622874304;0,2565;0;0,42262169
S1;Pharma;2023-06; 39 141,27 ;0,494623656;0,622874304;0,2565;0;0,3516715
S1;Pharma;2023-08; 30 674,72 ;0,19318915;0,557594308;0,2565;0;0,35693505
S1;Pharma;2023-10; 4 108,64 ;0,70659824;0,565566274;0,2565;0;0,44253673
S1;Pharma;2023-11; 15 018,78 ;0,56026393;0,565566274;0,2565;0;0,45256451
S1;Pharma;2023-12; 8 681,58 ;0,124828935;0,565566274;0,2565;0;0,50061341
S1;Textiles;2023-02; 11 797,65 ;0,241202346;0,590472015;0,3344;0;0,36525408
S1;Textiles;2023-03; 30 372,91 ;0,228690127;0,590472015;0,3344;0;0,47604927
S1;Textiles;2023-04; 20 765,90 ;0,771774194;0,622874304;0,3344;0;0,40007626
S1;Textiles;2023-05; 52 699,90 ;0,237722385;0,622874304;0,3344;0;0,42262169
S1;Textiles;2023-09; 53 953,77 ;0,600821114;0,557594308;0,3344;0;0,41456793
S1;Textiles;2023-12; 29 430,22 ;0,127077224;0,565566274;0,3344;0;0,50061341
S10;Electronics;2023-02; 57 256,50 ;0,361647116;0,478358099;0,375;0,2;0,35011977
S10;Electronics;2023-03; 16 668,64 ;0,55188172;0,478358099;0,375;0,2;0,4592466
S10;Electronics;2023-05; 36 819,12 ;0,253093842;0,402306993;0,375;0,2;0,60615315
S10;Electronics;2023-07; 31 418,40 ;0,039882698;0,474131425;0,375;0,2;0,60629882
S10;Electronics;2023-08; 7 791,50 ;0,818450635;0,474131425;0,375;0,2;0,47062806
S10;Electronics;2023-09; 18 036,43 ;0,091202346;0,474131425;0,375;0,2;0,45950501
S10;Electronics;2023-10; 45 542,19 ;0,002443793;0,419372079;0,375;0,2;0,42817427
S10;Electronics;2023-11; 30 857,94 ;0,087218964;0,419372079;0,375;0,2;0,53975639
S10;Food;2023-04; 10 234,35 ;0,592106549;0,402306993;0,4013;0,2;0,56031868
S10;Food;2023-08; 29 257,04 ;0,573142717;0,474131425;0,4013;0,2;0,47062806
S10;Food;2023-10; 59 423,62 ;0,645420332;0,419372079;0,4013;0,2;0,42817427
S10;Food;2023-11; 25 279,88 ;0,247800587;0,419372079;0,4013;0,2;0,53975639
S10;Food;2023-12; 10 212,14 ;0,310124633;0,419372079;0,4013;0,2;0,51505165
S10;Machinery;2023-01; 15 320,08 ;0,561217009;0,478358099;0,4145;0,3;0,34574577
S10;Machinery;2023-03; 35 516,15 ;0,189247312;0,478358099;0,4145;0,3;0,4592466
S10;Machinery;2023-04; 3 915,88 ;0,15742913;0,402306993;0,4145;0,3;0,56031868
S10;Machinery;2023-08; 40 295,95 ;0,154692082;0,474131425;0,4145;0,3;0,47062806
S10;Machinery;2023-09; 32 591,74 ;0,154252199;0,474131425;0,4145;0,3;0,45950501
S10;Machinery;2023-10; 149 041,56 ;0,402475964;0,419372079;0,4145;0,3;0,42817427
S10;Machinery;2023-12; 14 266,38 ;0,50457478;0,419372079;0,4145;0,3;0,51505165
S10;Pharma;2023-01; 29 533,56 ;0,280909879;0,478358099;0,3618;0,3;0,34574577
S10;Pharma;2023-03; 42 445,70 ;0,054349951;0,478358099;0,3618;0,3;0,4592466
S10;Pharma;2023-08; 21 469,99 ;0,088905181;0,474131425;0,3618;0,3;0,47062806
S10;Pharma;2023-09; 14 482,39 ;0,189247312;0,474131425;0,3618;0,3;0,45950501
S10;Pharma;2023-12; 5 682,55 ;0,134115347;0,419372079;0,3618;0,3;0,51505165
S10;Textiles;2023-03; 80 101,03 ;0,071823069;0,478358099;0,3882;0,2;0,4592466
S11;Electronics;2023-01; 19 714,20 ;0,164467253;0,430072608;0,2907;0,5;0,21163815
S11;Electronics;2023-02; 15 384,86 ;0,11414956;0,430072608;0,2907;0,5;0,23814873
S11;Electronics;2023-07; 35 803,74 ;0,131818182;0,411434334;0,2907;0,5;0,39839994
S11;Food;2023-02; 37 223,87 ;0,066080156;0,430072608;0,3059;0,4;0,23814873
S11;Food;2023-03; 42 558,02 ;0,709770283;0,430072608;0,3059;0,4;0,36814859
S11;Food;2023-05; 37 711,48 ;0,062805474;0,383188292;0,3059;0,4;0,30178102
S11;Food;2023-06; 14 482,70 ;0,170650049;0,383188292;0,3059;0,4;0,35147487
S11;Food;2023-07; 7 261,74 ;0,708382209;0,411434334;0,3059;0,4;0,39839994
S11;Food;2023-11; 19 448,54 ;0,722702835;0,384452681;0,3059;0,4;0,48557661
S11;Machinery;2023-02; 14 212,12 ;0,713978495;0,430072608;0,3137;0,7;0,23814873
S11;Machinery;2023-04; 38 770,52 ;0,177370479;0,383188292;0,3137;0,7;0,28337446
S11;Machinery;2023-05; 8 438,09 ;0,055791789;0,383188292;0,3137;0,7;0,30178102
S11;Machinery;2023-06; 49 028,25 ;0,002443793;0,383188292;0,3137;0,7;0,35147487
S11;Machinery;2023-10; 48 937,01 ;0,21285435;0,384452681;0,3137;0,7;0,54919923
S11;Machinery;2023-11; 11 326,42 ;0,492130987;0,384452681;0,3137;0,7;0,48557661
S11;Pharma;2023-01; 44 228,56 ;0,456864614;0,430072608;0,2519;0,6;0,21163815
S11;Pharma;2023-03; 40 319,64 ;0,070527859;0,430072608;0,2519;0,6;0,36814859
S11;Pharma;2023-04; 12 919,21 ;0,443035191;0,383188292;0,2519;0,6;0,28337446
S11;Pharma;2023-05; 25 636,35 ;0,116471163;0,383188292;0,2519;0,6;0,30178102
S11;Pharma;2023-06; 13 028,53 ;0,116959922;0,383188292;0,2519;0,6;0,35147487
S11;Pharma;2023-07; 44 819,63 ;0,103958944;0,411434334;0,2519;0,6;0,39839994
S11;Textiles;2023-02; 37 060,57 ;0,090713587;0,430072608;0,348;0,6;0,23814873
S11;Textiles;2023-06; 48 861,84 ;0,099755621;0,383188292;0,348;0,6;0,35147487
S11;Textiles;2023-07; 50 549,34 ;0,343022894;0,411434334;0,348;0,6;0,39839994
S11;Textiles;2023-09; 3 668,31 ;0,167155425;0,411434334;0,348;0,6;0,5967078
S11;Textiles;2023-10; 46 089,23 ;0,181964809;0,384452681;0,348;0,6;0,54919923
S11;Textiles;2023-11; 4 383,56 ;0,384090909;0,384452681;0,348;0,6;0,48557661
S12;Electronics;2023-01; 69 551,16 ;0,112039752;0,294197899;0,2907;0,3;0,21163815
S12;Electronics;2023-02; 35 840,66 ;0,60931085;0,294197899;0,2907;0,3;0,23814873
S12;Electronics;2023-03; 42 373,11 ;0,089296188;0,294197899;0,2907;0,3;0,36814859
S12;Electronics;2023-05; 42 478,08 ;0,030596285;0,311502193;0,2907;0,3;0,30178102
S12;Electronics;2023-11; 15 328,50 ;0,459604106;0,26477291;0,2907;0,3;0,48557661
S12;Food;2023-02; 47 900,26 ;0,4521261;0,294197899;0,3059;0,2;0,23814873
S12;Food;2023-03; 3 579,06 ;0,187438905;0,294197899;0,3059;0,2;0,36814859
S12;Food;2023-07; 27 028,79 ;0,185239492;0,307342137;0,3059;0,2;0,39839994
S12;Food;2023-08; 43 426,55 ;0,081158358;0,307342137;0,3059;0,2;0,52340736
S12;Food;2023-10; 15 835,44 ;0,545307918;0,26477291;0,3059;0,2;0,54919923
